City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,3.11,95,100,10.89,TF,2023-08-10 03:00:19
1,tabou,4.423,-7.3528,24.06,83,100,4.93,CI,2023-08-10 03:11:52
2,puerto armuelles,8.2833,-82.8667,27.27,91,100,1.34,PA,2023-08-10 03:08:21
3,licheng,23.2955,113.8284,28.33,80,99,1.93,CN,2023-08-10 03:13:02
4,bredasdorp,-34.5322,20.0403,9.77,86,0,1.81,ZA,2023-08-10 03:00:44
5,taltal,-25.4,-70.4833,18.36,63,63,1.07,CL,2023-08-10 03:10:21
6,callao,-12.0667,-77.15,21.16,73,100,5.14,PE,2023-08-10 03:02:35
7,iqaluit,63.7506,-68.5145,5.85,100,100,4.63,CA,2023-08-10 03:01:20
8,margaret river,-33.95,115.0667,11.91,79,100,1.99,AU,2023-08-10 03:03:27
9,west island,-12.1568,96.8225,26.99,74,40,6.17,CC,2023-08-10 03:01:20
10,hithadhoo,-0.6,73.0833,27.25,75,67,2.26,MV,2023-08-10 03:03:17
11,nova sintra,14.8667,-24.7167,22.73,73,76,7.03,CV,2023-08-10 03:05:42
12,sinabang,2.4803,96.3801,25.66,87,100,1.75,ID,2023-08-10 03:06:36
13,kapuskasing,49.4169,-82.4331,18.05,82,75,7.2,CA,2023-08-10 03:05:56
14,grytviken,-54.2811,-36.5092,-5.04,93,94,1.92,GS,2023-08-10 03:04:42
15,talnakh,69.4865,88.3972,14.56,51,100,2.8,RU,2023-08-10 03:04:58
16,al muwayh,22.4333,41.7583,27.62,30,82,4.0,SA,2023-08-10 03:13:05
17,port saint john's,-31.6229,29.5448,16.16,88,39,3.81,ZA,2023-08-10 03:06:28
18,igrim,63.1906,64.4162,14.0,66,74,3.15,RU,2023-08-10 03:13:05
19,guichon,-32.35,-57.2,12.1,95,40,2.97,UY,2023-08-10 03:13:06
20,bethel,41.3712,-73.414,23.6,76,24,0.45,US,2023-08-10 03:00:05
21,yellowknife,62.456,-114.3525,20.87,43,21,3.58,CA,2023-08-10 03:12:53
22,badger,64.8,-147.5333,21.95,75,75,3.09,US,2023-08-10 03:00:06
23,waitangi,-43.9535,-176.5597,11.57,78,2,1.34,NZ,2023-08-10 03:00:23
24,sao joao da barra,-21.6403,-41.0511,21.16,87,86,4.72,BR,2023-08-10 03:05:54
25,novaya igirma,57.1334,103.9112,19.32,83,100,2.5,RU,2023-08-10 03:13:07
26,thompson,55.7435,-97.8558,15.09,77,20,0.0,CA,2023-08-10 03:04:47
27,jamestown,42.097,-79.2353,20.95,77,0,1.54,US,2023-08-10 03:00:40
28,villa gesell,-37.2639,-56.973,12.81,95,97,5.57,AR,2023-08-10 03:13:08
29,ribeira grande,38.5167,-28.7,20.99,86,88,3.13,PT,2023-08-10 03:04:43
30,keta,5.9179,0.9879,24.42,86,93,5.38,GH,2023-08-10 03:13:08
31,carnarvon,-24.8667,113.6333,23.44,54,2,2.95,AU,2023-08-10 03:05:55
32,pacific grove,36.6177,-121.9166,16.8,87,100,3.09,US,2023-08-10 03:04:54
33,camana,-16.6228,-72.7111,17.87,82,20,3.58,PE,2023-08-10 03:13:09
34,constantia,44.1833,28.65,18.38,71,77,6.26,RO,2023-08-10 03:04:06
35,tazovsky,67.4667,78.7,7.91,85,100,9.3,RU,2023-08-10 03:05:05
36,wailua homesteads,22.0669,-159.378,30.24,76,75,8.75,US,2023-08-10 03:04:58
37,kununurra,-15.7667,128.7333,29.99,26,49,4.12,AU,2023-08-10 03:02:41
38,putian,25.4394,119.0103,30.14,84,89,1.38,CN,2023-08-10 03:11:26
39,east london,-33.0153,27.9116,14.9,82,0,4.44,ZA,2023-08-10 03:00:35
